item_code,item_category,item_sub_department,item_department
96928,Jam,Spreads,Grocery
853684,Jam,Spreads,Grocery
117367,Liquid Cooking Oils & Fats,Oils/Fats,Grocery
74329,Ambient Regular Noodles,Pasta & Noodles,Grocery
889792,Pears,Processed/Preserved Fruits,Grocery
1103623,Canned Fruit,Processed/Preserved Fruits,Grocery
910285,Canned Fruit,Processed/Preserved Fruits,Grocery
64294,Ambient Instant Soups,Soups,Grocery
1102453,Deodorants,Female Fragrance,Household
918331,Deodorants,Female Fragrance,Household
228679,Deodorants,Female Fragrance,Household
620683,Body Lotions,Hand & Body Care,Household
218392,Hand Cleansing,Hand & Body Care,Household
851893,Eye Cosmetics,Cosmetics,Household
1002715,Nail Cosmetics,Cosmetics,Household
270565,Men's Fragrance,Men's Toiletries,Household
275308,Household Air Fresheners,Cleaning Consumables,Household
1094659,Accessories,Baby Needs,Household
1044745,Facial Cleansing,Facial Care,Household
1084624,Tooth Brushes,Oral Care,Household
956194,Serviettes & Napkins,Paper Goods,Household
215359,Adult Diapers,Personal Hygiene,Household
1102660,Feminine Hygiene,Personal Hygiene,Household
208555,Pet Food,Pet Care,Household
925567,Party Accessories,Party Ware,Household
141982,Unclassified,Party Ware,Household
104425,Shampoo,Hair Care,Household
102868,Shampoo,Hair Care,Household
843325,Shampoo,Hair Care,Household
122497,Shampoo,Hair Care,Household
1083031,Dark Malt Drinks,Malt Drink,Beverages
126835,Mineral,Water,Beverages
74347,Multiple Consumption RTD Beverages,Juices & Carbonates,Beverages
100105,Cheese Blocks,Cheese,Chilled
1072654,Cheese Blocks,Cheese,Chilled
1092220,Drinking Yogurt,Yoghurt,Chilled
41335,Salt,Seasoning & Coconut Cream,Grocery
1010959,Ambient Salad Accompaniments,Meal Accompaniments,Grocery
1030858,Rice,Pulses,Grocery
244636,Savory Biscuits Regular,Biscuits,Grocery
1049398,Sweet Biscuits & Cookies  Regular,Biscuits,Grocery
963214,Sweet Biscuits & Cookies  Regular,Biscuits,Grocery
137824,Sambol/Badum,Condiments,Grocery
1063915,Canned Meat,Processed/Preserved Meat,Grocery
142711,Ready To Eat,Desserts,Grocery
1056085,Instant Mixes,Flour,Grocery
1092292,Kurakkan Flour,Flour,Grocery
843712,Jam,Spreads,Grocery
405664,Liquid Cooking Oils & Fats,Oils/Fats,Grocery
1120192,Block Cooking Oils & Fats,Oils/Fats,Grocery
89638,Dates,Processed/Preserved Fruits,Grocery
1039354,"Snack-Nuts,Peas & Mixes",Snacks,Grocery
210211,Snack-Crisps & Chips,Snacks,Grocery
1063249,Snack-Crisps & Chips,Snacks,Grocery
1037743,Body Lotions,Hand & Body Care,Household
45682,Body Lotions,Hand & Body Care,Household
362311,Body Lotions,Hand & Body Care,Household
1108528,Body Lotions,Hand & Body Care,Household
210445,Body Lotions,Hand & Body Care,Household
1028392,Body Lotions,Hand & Body Care,Household
1041568,Hand Cleansing,Hand & Body Care,Household
970963,Nail Cosmetics,Cosmetics,Household
1055158,Washing Detergents,Laundry Care,Household
32659,Washing Detergents,Laundry Care,Household
91807,Dish Wash,Cleaning Consumables,Household
850462,All Purpose Cleaners,Cleaning Consumables,Household
920887,Toilet Cleaners,Cleaning Consumables,Household
282427,Baby Biscuits/ Rusks,Baby Foods,Household
1049866,Baby Nappies,Baby Needs,Household
418579,Baby Hair Care,Baby Needs,Household
594916,Household Polishes,General Needs,Household
1000033,Face Cream,Facial Care,Household
52981,Cleaning Aids,Car Care,Household
100006,Mouth Wash,Oral Care,Household
274012,Feminine Hygiene,Personal Hygiene,Household
124513,Feminine Hygiene,Personal Hygiene,Household
42352,Pet Food,Pet Care,Household
24154,Mosquito Control,Pest Control,Household
904507,Mosquito Control,Pest Control,Household
853837,Party Candles,Party Ware,Household
65563,Bath Soap,Skin Care,Household
950317,Conditioners,Hair Care,Household
39994,Multiple Consumption RTD Beverages,Juices & Carbonates,Beverages
819619,Chillled Puddings,Desserts,Chilled
1072681,Butter,Spreads,Chilled
6865,Meal Accompaniments,Meal Accompaniments,Grocery
1009717,FOW-Italy,FOW,Grocery
990430,FOW-Indonesia,FOW,Grocery
276739,Rice,Pulses,Grocery
915730,Sweet Biscuits & Cookies  Regular,Biscuits,Grocery
225943,Sweet Biscuits & Cookies  Regular,Biscuits,Grocery
1032667,Sugar Confectionary,Confectionery,Grocery
428938,Sugar Confectionary,Confectionery,Grocery
133729,Local,Confectionery,Grocery
30778,Packaged Cereals,Cereals,Grocery
1120399,Packaged Cereals,Cereals,Grocery
60235,Packaged Cereals,Cereals,Grocery
94237,Corn,Cereals,Grocery
838780,Baked Beans,Processed / Preserved Vegetables,Grocery
132289,Curry,Processed / Preserved Vegetables,Grocery
1034260,Canned Vegetables,Processed / Preserved Vegetables,Grocery
82969,Dessert Pre-Mixes,Desserts,Grocery
891133,Ambient Spreads,Spreads,Grocery
396178,Ambient Spreads,Spreads,Grocery
363814,Ambient Spreads,Spreads,Grocery
1103641,Canned Fruit,Processed/Preserved Fruits,Grocery
211237,Snack-Crisps & Chips,Snacks,Grocery
864826,Freshener/Deodorisers,Cleaning Aids,Household
1065841,Deodorants,Female Fragrance,Household
1034404,Deodorants,Female Fragrance,Household
384397,Hand Cleansing,Hand & Body Care,Household
136546,Applicators & Accessories,Beauty Accessories,Household
971170,Nail Cosmetics,Cosmetics,Household
971152,Nail Cosmetics,Cosmetics,Household
1013092,Nail Cosmetics,Cosmetics,Household
979720,Men's Fragrance,Men's Toiletries,Household
836638,Washing Detergents,Laundry Care,Household
1022965,Baby Nappies,Baby Needs,Household
855286,Accessories,Baby Needs,Household
